SAMPLE ID,IGSN,SOURCE,REFERENCE,EXPEDITION ID,LATITUDE,LONGITUDE,LOC PREC,MAX ELEVATION,MIN ELEVATION,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SIO2,TIO2,AL2O3,CR2O3,FE2O3,FE2O3T,FEO,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5,NI,CO,CU,CD,ZN,S,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,BA,CD,CO,CR,CS,CU,HF,MO,NB,NI,PB,RB,S,SB,SC,SE,SN,SR,TA,TE,TH,TI,TL,U,V,Y,ZN,ZR,TI
DANCSAF-RVD146,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,42.89,0.17,0.87,,4.14,,,,0.11,45.7,0.3,,0.0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD152,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,COL,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD152,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,TITR,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,,,,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD152,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,44.76,0.28,3.29,,5.24,,,,0.12,37.58,2.54,,0.2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD157,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,COL,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD157,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,TITR,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,,,,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD157,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,42.65,0.06,0.48,,4,,,,0.06,47.56,0.12,,0.0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD158,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,45.83,0.55,1.83,,,,,8.47,0.15,39.15,2.05,,0.1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD161,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,AAS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD161,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,COL,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD161,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,TITR,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,,,,5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD161,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,42.4,0.32,3.03,,2.37,,,,0.11,42.29,2.23,,0.0900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD167,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,COL,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD167,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,TITR,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,,,,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
